layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1011532,TW12S742,"Mercedes 6607, 6615, 6621",114300,213621.55,TBD,Erosion Control,Under Construction,-96.7462517636683,32.8288059194825
Active Bond Program,1011533,TW12S744,"Rocky Branch @ Middle Downs Sites 1, 2, 3, 4",666300,598026.44,TBD,Erosion Control,Under Construction,-96.7335519469235,32.8991019755641
Active Bond Program,1011535,TW12S745,Rosemont Rd. 7322,114300,277773,TBD,Erosion Control,Under Construction,-96.6957778019088,32.7257669843737
Active Bond Program,1011536,TW12S746,Royal Lane 7832 and 7920,493600,644747.38,TBD,Erosion Control,Under Construction,-96.7708352831208,32.8975450268467
Active Bond Program,1011537,TW12S747,Royal Lane 9750 (Jackson Branch - E. Bank downstream of Royal Bridge),259400,305061.75,TBD,Erosion Control,Under Construction,-96.7307080986262,32.8938198678531
Active Bond Program,1011538,TW12S748,Skillman 7920 (Jackson Branch - E. Bank downstream of Skillman Br),518900,207878.93,TBD,Erosion Control,Under Construction,-96.7318751278206,32.8885734049834
Active Bond Program,1011540,TW12S749,Skillman 8109,163400,501243.06,TBD,Erosion Control,Under Construction,-96.7307050958364,32.8910435502455
Active Bond Program,1011541,TW12S751,Spring Grove 13316,74000,188012.31,11,Erosion Control,Awarded for Construction,-96.778271615693,32.9293270317004
Active Bond Program,1011542,TW12S752,Spring Valley 8444,297100,426402.35,TBD,Erosion Control,Under Construction,-96.7566217680253,32.9392848265096
Active Bond Program,1011543,TW12S753,"Springwater 9204, 9210, 9216",297100,521234.69,TBD,Erosion Control,Under Construction,-96.6969825985407,32.8177433596135
Active Bond Program,1011546,TW12S755,"Summer Creek Circle 6121, 6123, 6125,6127,6139,6141",434200,398748.62,TBD,Erosion Control,Under Construction,-96.7561937303991,32.8629771720549
Active Bond Program,1011547,TW12S757,"Tamarack 1745, 1739, 1751",308500,98128.35,TBD,Erosion Control,Under Design,-96.6844862683812,32.8232847404261
Active Bond Program,1011548,TW12S758,Tranquilla Dr. 1251,109700,17656.69,TBD,Erosion Control,Under Construction,-96.6983442055466,32.8340765024831
Active Bond Program,1011549,TW12S759,Turtle Creek Greenbelt Site 1 - bike trail,222800,305927.15,TBD,Erosion Control,Under Construction,-96.8010814354243,32.8108967560412
