GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present,institutional_parcel_count,small_investor_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3
48113014309,Census Tract 143.09,681479,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False,1,20,92,1.087,WEA INVESTMENTS LP,,
48113013620,Census Tract 136.20,1733152,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,0.0,,0.0,False,207,0,208,99.519,BMIRF ESTANCIA LLC,,
48113006402,Census Tract 64.02,1332156,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,6,174,973,0.617,BOLTEX HOLDINGS LTD,NEW DIMENSION HOMES LLC,SPJ PORTFOLIO 2020 LLC
48113010804,Census Tract 108.04,1973916,3.0,576.0,576.0,2004.0,0,0,191,0,0,0,191,0.0,0.0,,0.0,False,2,90,433,0.462,CAZARES CASAS LLC,,
48113010805,Census Tract 108.05,3055486,2.0,225.0,221.0,2007.0,0,0,85,0,150,0,235,0.0,0.0,,0.0,False,149,147,1108,13.448,PC LUXAR LLC,RS RENTAL II LLC,RH PARTNERS OWNERCO LLC
48113006401,Census Tract 64.01,778638,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,1,142,663,0.151,JC LEASING LLP,,
48113013104,Census Tract 131.04,538242,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,1,9,152,0.658,WH1 LLC,,
48113019041,Census Tract 190.41,1248027,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False,6,54,888,0.676,OPENDOOR PROPERTY TRUST I,5E REAL ESTATE LLC,WAVE ASSET MANAGEMENT LLC
48113007823,Census Tract 78.23,1609453,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.5558750363513811,True,0,27,299,0.0,,,
48113007822,Census Tract 78.22,1535099,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.6942115061522954,True,0,0,0,0.0,,,
48113007821,Census Tract 78.21,1303242,0.0,0.0,0.0,,0,0,7,0,0,0,7,0.0,1.0,Transformance,0.9899450635132548,True,0,0,0,0.0,,,
48113013011,Census Tract 130.11,991794,0.0,0.0,0.0,,0,0,78,0,0,0,78,0.0,0.0,,0.0,False,2,14,81,2.469,ALTO ASSET COMPANY 2 LLC,VSP DALLAS LLC,
48113007827,Census Tract 78.27,519248,0.0,0.0,0.0,,0,0,20,0,0,0,20,0.0,0.0,,0.0,False,0,1,2,0.0,,,
48113013005,Census Tract 130.05,1999227,0.0,0.0,0.0,,0,0,0,0,0,1,1,0.0,0.0,,0.0,False,17,89,1539,1.105,BPHB ASSETCO LLC,MFHB TEXAS PROPCO II LLC,ZHS INVESTMENTS LLC
48113013007,Census Tract 130.07,1581107,1.0,82.0,82.0,1990.0,0,0,8,0,0,0,8,0.0,0.0,,0.0,False,2,59,982,0.204,GLENDORA PROPERTIES LLC,SWAN PROPERTIES LTD,
48113013008,Census Tract 130.08,1806691,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,3,35,906,0.331,WH1 LLC,5E REAL ESTATE LLC,
48113013009,Census Tract 130.09,1743751,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,4,27,918,0.436,ARNS INVESTMENTS LLC,SRP SUB LLC,MILLER FAMILY TRUST
48113013101,Census Tract 131.01,2620901,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,2,49,886,0.226,S D HOME DESIGN LLC,AMNL ASSET COMPANY 1 LLC,
48113007826,Census Tract 78.26,591801,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0001500978387796,False,0,4,86,0.0,,,
48113007824,Census Tract 78.24,1169518,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0163879277278387,True,0,28,716,0.0,,,
48113007825,Census Tract 78.25,1781420,0.0,0.0,0.0,,0,0,19,0,0,0,19,0.0,0.0,,0.0,False,1,36,903,0.111,VM MASTER ISSUER LLC,,
48113013102,Census Tract 131.02,1358524,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,1,31,474,0.211,FF I BORROWER II LLC,,
48113014501,Census Tract 145.01,1873729,0.0,0.0,0.0,,0,0,10,0,0,0,10,0.0,0.0,,0.0,False,10,133,979,1.021,AGAS VENTURES LLC,ROYALAND PROPERTIES LLC,NEPTUNE VENTURES LLC
48113014502,Census Tract 145.02,1997685,1.0,58.0,50.0,2020.0,0,0,8,0,0,0,8,0.0,0.0,,0.0,False,11,116,817,1.346,MANGUSTA LLC,SABRAHAM PROPERTIES LLC,SORI INVESTMENTS LLC
48113014602,Census Tract 146.02,1947504,1.0,132.0,132.0,1994.0,0,0,10,0,0,0,10,0.0,0.0,,0.0,False,7,121,682,1.026,WAVE ASSET MANAGEMENT LLC,RESICAP TEXAS OWNER III LLC,SFR JV2 20242 BORROWER LLC
48113014701,Census Tract 147.01,1365100,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False,4,87,508,0.787,FZ HOMES LLC,SEASONED STRUCTURES LLC,NOSHI PROPERTIES LLC
48113007910,Census Tract 79.10,497027,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,0,0,0.0,,,
48113007909,Census Tract 79.09,499418,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,0,0,0.0,,,
48113013806,Census Tract 138.06,5902443,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,16,190,0.0,,,
48113013727,Census Tract 137.27,5153212,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,16,51,758,2.111,URBAN INTOWNHOMES LLC,,
48113014205,Census Tract 142.05,2799708,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,1,36,682,0.147,EJO LIVING TRUST,,
48113016412,Census Tract 164.12,5505975,0.0,0.0,0.0,,0,0,5,0,0,0,5,0.0,0.0,,0.0,False,20,116,1477,1.354,20191 IH BORROWER LP,BISMUTH PROPCO SERIES LLC,2018 4 IH BORROWER LP
48113013300,Census Tract 133,2486041,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,45,804,0.0,,,
48113013400,Census Tract 134,2238796,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,1,47,784,0.128,GLENDORA PROPERTIES LLC,,
48113013500,Census Tract 135,2971705,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,2,37,906,0.221,TOWNSVILLE REALTY LLC,BYPASS TRUST,
48113013605,Census Tract 136.05,2812145,0.0,0.0,0.0,,0,0,2,0,0,0,2,0.0,0.0,,0.0,False,14,85,1854,0.755,WH1 LLC,FF I BORROWER II LLC,S D HOME DESIGN LLC
48113013606,Census Tract 136.06,2334540,0.0,0.0,0.0,,0,0,12,0,0,0,12,0.0,0.0,,0.0,False,5,106,1291,0.387,ZHS INVESTMENTS LLC,FF I BORROWER II LLC,S D HOME DESIGN LLC
48113013608,Census Tract 136.08,4490566,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,71,1045,0.0,,,
48113015202,Census Tract 152.02,1338141,0.0,0.0,0.0,,0,0,6,0,0,0,6,0.0,0.0,,0.0,False,8,91,592,1.351,A&R TEXAS PROPERTIES LLC,NOSHI PROPERTIES LLC,SABRAHAM PROPERTIES LLC
48113015205,Census Tract 152.05,1042093,0.0,0.0,0.0,,0,0,14,0,0,0,14,0.0,0.0,,0.0,False,7,108,690,1.014,STAR 2022 SFR3 BORROWER LP,WAGONEER LLC,A SQUARE FAMILY TRUST
