GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113012212,59.0,4.0,0.06779661016949153,2.0,0.0,,42.0,3.0,0.07142857142857142,
48113012213,93.0,1.0,0.010752688172043012,4.0,0.0,,65.0,0.0,0.0,
48113012301,63.0,5.0,0.07936507936507936,2.0,0.0,,38.0,2.0,0.05263157894736842,
48113012302,39.0,2.0,0.05128205128205128,4.0,0.0,,24.0,0.0,0.0,
48113012400,173.0,16.0,0.09248554913294797,5.0,1.0,,122.0,10.0,0.08196721311475409,
48113012501,56.0,1.0,0.017857142857142856,1.0,0.0,,37.0,1.0,0.02702702702702703,
48113012502,66.0,5.0,0.07575757575757576,1.0,0.0,,42.0,3.0,0.07142857142857142,
48113012601,53.0,8.0,0.1509433962264151,3.0,0.0,,24.0,4.0,0.16666666666666666,
48113012603,39.0,4.0,0.10256410256410256,0.0,0.0,,29.0,1.0,0.034482758620689655,
48113012604,25.0,1.0,0.04,0.0,0.0,,18.0,0.0,0.0,
48113012701,76.0,5.0,0.06578947368421052,0.0,0.0,,44.0,2.0,0.045454545454545456,
48113012702,40.0,3.0,0.075,4.0,1.0,,26.0,2.0,0.07692307692307693,
48113012801,91.0,2.0,0.02197802197802198,1.0,0.0,,70.0,2.0,0.02857142857142857,
48113012802,139.0,8.0,0.05755395683453238,0.0,0.0,,109.0,7.0,0.06422018348623854,
48113012900,170.0,5.0,0.029411764705882353,2.0,0.0,,130.0,5.0,0.038461538461538464,
48113013005,149.0,5.0,0.03355704697986577,0.0,0.0,,119.0,4.0,0.03361344537815126,
48113013007,92.0,8.0,0.08695652173913043,2.0,0.0,,65.0,3.0,0.046153846153846156,
48113013008,87.0,3.0,0.034482758620689655,0.0,0.0,,61.0,1.0,0.01639344262295082,
48113013009,70.0,5.0,0.07142857142857142,6.0,1.0,,52.0,2.0,0.038461538461538464,
48113013010,19.0,0.0,0.0,0.0,0.0,,15.0,0.0,0.0,
48113013011,8.0,1.0,0.125,0.0,0.0,,4.0,0.0,,
48113013012,72.0,4.0,0.05555555555555555,0.0,0.0,,54.0,3.0,0.05555555555555555,
48113013013,124.0,3.0,0.024193548387096774,1.0,0.0,,96.0,3.0,0.03125,
48113013101,118.0,13.0,0.11016949152542373,3.0,2.0,,76.0,6.0,0.07894736842105263,
48113013102,66.0,1.0,0.015151515151515152,2.0,0.0,,47.0,1.0,0.02127659574468085,
