GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113019047,4342,71760,24.9,36.9,61.8,0,27854605.630000003,563642724.78,0.019062761847629856,0.38573825716125626
48113012802,5012,130000,2.9,39.4,42.3,0,24563407.2,742492816.81,0.016810375556552314,0.508137287184593
48113016530,3081,69821,41.3,37.0,78.3,1,905867.61,462966406.03999996,0.0006199455395022097,0.3168387468494065
48113008402,3707,64333,7.5,81.1,88.6,0,192695872.01999998,745754202.44,0.13187461944829626,0.5103692705909928
48113016531,3384,79710,28.3,48.5,76.8,1,905867.61,558559962.03,0.0006199455395022097,0.3822597840814974
48113019051,4552,157260,4.4,6.7,11.1,0,2350.0,224815952.00999993,1.6082615182920526e-06,0.15385652949611733
48113019216,3672,79524,4.0,13.9,17.9,0,150447337.48999995,604147801.26,0.10296113336794219,0.41345857877753733
48113008101,1834,66352,10.9,22.4,33.3,0,36175030.730000004,746100552.1100001,0.024756982913230408,0.5106063007382841
48113018151,4336,97500,36.9,22.2,59.1,0,5921998.3,236444930.89999995,0.004052817862672746,0.16181501428157163
48113013202,4971,88073,31.6,12.7,44.3,0,169947781.03,697244970.79,0.11630658568071195,0.47717117248690344
48113013012,2765,180293,2.2,9.2,11.4,0,15723066.87,611388142.4499999,0.010760341870873902,0.41841362648612535
48113008102,4042,188125,6.5,14.5,21.0,0,36175030.730000004,738770437.73,0.024756982913230408,0.5055898152565677
48113016527,5126,121684,26.4,56.8,83.19999999999999,1,3406233.4099999997,361221447.81999993,0.002331112389627113,0.24720789536623256
48113000801,3674,74670,28.3,36.0,64.3,0,257925505.52999997,853583431.3599999,0.17651560218294593,0.5841639937480738
48113000902,2703,82773,15.1,33.7,48.8,0,259271743.88,824948821.27,0.1774369227500753,0.5645674228974167
48113014142,2336,84048,40.9,4.4,45.3,0,60901473.16,724732794.0,0.04167893433639331,0.49598292069552397
48113012801,2447,80420,4.0,49.9,53.9,0,22025219.919999998,602931995.47,0.015073324948619385,0.41262652189848475
48113021200,4830,61017,4.0,83.7,87.7,0,32968390.98,568692301.2099999,0.022562465758783325,0.38919401863191305
48113007915,1944,73739,10.2,11.8,22.0,0,37360061.2,691585720.66,0.02556797819106213,0.47329817069691693
48113012502,3507,58068,3.4,71.0,74.4,0,21476324.43,728269293.83,0.014697679206435957,0.4984031830725603
48113012501,3151,91189,2.2,83.6,85.8,0,21476324.43,727443108.85,0.014697679206435957,0.4978377696639114
48113016635,3810,22881,91.6,3.3,94.9,1,500442.93,501918935.43,0.0003424864282639674,0.34349655708688615
48113016534,3832,58071,21.1,65.4,86.5,1,2218135.98,636298240.16,0.0015180181867970339,0.43546126544948194
48113007702,3314,146267,2.9,2.1,5.0,0,126344605.0,693916287.5899999,0.0864660281980041,0.47489313287109697
48113007830,2749,40859,38.3,46.1,84.4,0,80928653.01,691585720.66,0.05538486738859289,0.47329817069691693
48113013808,2389,102778,5.1,24.0,29.1,0,199143331.2,748911651.19,0.13628704518870172,0.5125301230678457
48113014704,5160,65878,2.3,73.6,75.89999999999999,0,139599693.03,718554470.02,0.09553736777256693,0.49175468209783246
48113007206,3236,43720,0.6,83.6,84.19999999999999,0,136292158.46,696715791.28,0.09327380157284282,0.4768090197029879
48113016420,4146,81024,18.1,60.7,78.80000000000001,1,5531860.500000001,444264455.1999999,0.003785820581578653,0.3040397562736781
48113010001,2386,40299,49.3,28.0,77.3,0,246780698.54999998,702052585.76,0.16888846848306224,0.4804613436149953
48113007831,2055,43424,50.0,28.7,78.7,0,26495441.750000004,691585720.66,0.018132595479435593,0.47329817069691693
48113016532,1983,67300,20.9,44.7,65.6,1,905867.61,520913437.33,0.0006199455395022097,0.35649575983790543
48113013807,2759,117527,0.0,32.8,32.8,0,202777011.81,744620332.92,0.13877381484607493,0.5095932881587458
48113014157,2678,113698,16.4,17.9,34.3,0,913427.5,692543612.0799999,0.0006251192757445591,0.47395371959457144
48113014156,3868,178022,0.7,0.0,0.7,0,54008064.56,705594247.41,0.036961315706076935,0.4828851385692531
