GEOID,tract_name,in_pid,pid_name,pid_annual_budget,pid_per_capita
48113017315,Census Tract 173.15,False,,,
48113017400,Census Tract 174,False,,,
48113017500,Census Tract 175,False,,,
48113017602,Census Tract 176.02,False,,,
48113017604,Census Tract 176.04,False,,,
48113017605,Census Tract 176.05,False,,,
48113017606,Census Tract 176.06,False,,,
48113017703,Census Tract 177.03,False,,,
48113017704,Census Tract 177.04,False,,,
48113017705,Census Tract 177.05,False,,,
48113017706,Census Tract 177.06,False,,,
48113017805,Census Tract 178.05,False,,,
48113017806,Census Tract 178.06,False,,,
48113017808,Census Tract 178.08,False,,,
48113017811,Census Tract 178.11,False,,,
48113017812,Census Tract 178.12,False,,,
48113017814,Census Tract 178.14,False,,,
48113017815,Census Tract 178.15,False,,,
48113017816,Census Tract 178.16,False,,,
48113017817,Census Tract 178.17,False,,,
48113017818,Census Tract 178.18,False,,,
48113017819,Census Tract 178.19,False,,,
48113017820,Census Tract 178.20,False,,,
48113017900,Census Tract 179,False,,,
48113018001,Census Tract 180.01,False,,,
48113018002,Census Tract 180.02,False,,,
48113018105,Census Tract 181.05,False,,,
48113018110,Census Tract 181.10,False,,,
48113018111,Census Tract 181.11,False,,,
48113018120,Census Tract 181.20,False,,,
48113018121,Census Tract 181.21,False,,,
48113018126,Census Tract 181.26,False,,,
48113018127,Census Tract 181.27,False,,,
48113018128,Census Tract 181.28,False,,,
48113018129,Census Tract 181.29,False,,,
48113018130,Census Tract 181.30,False,,,
48113018132,Census Tract 181.32,False,,,
48113018133,Census Tract 181.33,False,,,
48113018134,Census Tract 181.34,False,,,
48113018135,Census Tract 181.35,False,,,
48113018137,Census Tract 181.37,False,,,
48113018138,Census Tract 181.38,False,,,
48113018140,Census Tract 181.40,False,,,
48113018141,Census Tract 181.41,False,,,
48113018142,Census Tract 181.42,False,,,
48113018143,Census Tract 181.43,False,,,
48113018144,Census Tract 181.44,False,,,
48113018145,Census Tract 181.45,False,,,
48113018146,Census Tract 181.46,False,,,
48113018147,Census Tract 181.47,False,,,
48113018148,Census Tract 181.48,False,,,
48113018149,Census Tract 181.49,False,,,
48113018150,Census Tract 181.50,False,,,
48113018151,Census Tract 181.51,False,,,
48113018152,Census Tract 181.52,False,,,
48113018153,Census Tract 181.53,False,,,
48113018154,Census Tract 181.54,False,,,
48113018155,Census Tract 181.55,False,,,
48113018156,Census Tract 181.56,False,,,
48113018157,Census Tract 181.57,False,,,
48113018158,Census Tract 181.58,False,,,
48113018159,Census Tract 181.59,False,,,
48113018203,Census Tract 182.03,False,,,
48113018204,Census Tract 182.04,False,,,
48113018205,Census Tract 182.05,False,,,
48113018206,Census Tract 182.06,False,,,
48113018300,Census Tract 183,False,,,
48113018401,Census Tract 184.01,False,,,
48113018402,Census Tract 184.02,False,,,
48113018403,Census Tract 184.03,False,,,
48113018501,Census Tract 185.01,False,,,
48113018505,Census Tract 185.05,True,North Lake Highlands,,
48113018506,Census Tract 185.06,False,,,
48113018507,Census Tract 185.07,True,North Lake Highlands,,
48113018508,Census Tract 185.08,False,,,
48113018600,Census Tract 186,False,,,
48113018700,Census Tract 187,False,,,
48113018801,Census Tract 188.01,False,,,
48113018802,Census Tract 188.02,False,,,
48113018900,Census Tract 189,False,,,
48113019013,Census Tract 190.13,False,,,
48113019016,Census Tract 190.16,False,,,
48113019018,Census Tract 190.18,False,,,
48113019019,Census Tract 190.19,False,,,
48113019020,Census Tract 190.20,False,,,
48113019023,Census Tract 190.23,False,,,
48113019024,Census Tract 190.24,False,,,
48113019025,Census Tract 190.25,False,,,
48113019026,Census Tract 190.26,False,,,
48113019027,Census Tract 190.27,False,,,
48113019028,Census Tract 190.28,False,,,
48113019029,Census Tract 190.29,False,,,
48113019031,Census Tract 190.31,False,,,
48113019032,Census Tract 190.32,False,,,
48113019033,Census Tract 190.33,False,,,
48113019034,Census Tract 190.34,False,,,
48113019035,Census Tract 190.35,False,,,
48113019036,Census Tract 190.36,False,,,
48113019037,Census Tract 190.37,False,,,
48113019039,Census Tract 190.39,False,,,
48113019040,Census Tract 190.40,False,,,
48113019041,Census Tract 190.41,False,,,
48113019042,Census Tract 190.42,False,,,
48113019044,Census Tract 190.44,False,,,
48113019045,Census Tract 190.45,False,,,
48113019046,Census Tract 190.46,False,,,
48113019047,Census Tract 190.47,False,,,
48113019048,Census Tract 190.48,False,,,
48113019049,Census Tract 190.49,False,,,
48113019050,Census Tract 190.50,False,,,
48113019051,Census Tract 190.51,False,,,
48113019052,Census Tract 190.52,False,,,
48113019053,Census Tract 190.53,False,,,
48113019101,Census Tract 191.01,False,,,
48113019102,Census Tract 191.02,False,,,
48113019202,Census Tract 192.02,False,,,
48113019203,Census Tract 192.03,False,,,
48113019205,Census Tract 192.05,False,,,
48113019208,Census Tract 192.08,False,,,
48113019210,Census Tract 192.10,False,,,
48113019211,Census Tract 192.11,False,,,
48113019212,Census Tract 192.12,False,,,
48113019213,Census Tract 192.13,False,,,
48113019214,Census Tract 192.14,False,,,
48113019215,Census Tract 192.15,False,,,
48113019216,Census Tract 192.16,False,,,
48113019301,Census Tract 193.01,False,,,
48113019302,Census Tract 193.02,False,,,
48113019400,Census Tract 194,False,,,
48113019501,Census Tract 195.01,False,,,
48113019502,Census Tract 195.02,False,,,
48113019600,Census Tract 196,False,,,
48113019700,Census Tract 197,False,,,
48113019800,Census Tract 198,False,,,
48113019900,Census Tract 199,False,,,
48113020000,Census Tract 200,False,,,
48113020100,Census Tract 201,False,,,
48113020200,Census Tract 202,False,,,
48113020300,Census Tract 203,True,South Dallas-Fair Park (Expired 12/2023),0.0,0.0
48113020401,Census Tract 204.01,True,Deep Ellum,,
48113020402,Census Tract 204.02,True,South Side PID - Standard,123300.0,19.4540864626065
48113020500,Census Tract 205,False,,,
48113020600,Census Tract 206,False,,,
48113020700,Census Tract 207,False,,,
48113020800,Census Tract 208,False,,,
48113020900,Census Tract 209,False,,,
48113021000,Census Tract 210,False,,,
48113021100,Census Tract 211,False,,,
48113021200,Census Tract 212,False,,,
48113980000,Census Tract 9800,False,,,
48113980100,Census Tract 9801,False,,,
48113980200,Census Tract 9802,False,,,
