NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 190.40; Dallas County; Texas,81826,379300,3069,675,2394,7981,1669,4036,934,48,113,019040
Census Tract 190.41; Dallas County; Texas,98889,397800,966,681,285,2540,1289,696,243,48,113,019041
Census Tract 190.42; Dallas County; Texas,88390,331900,3670,1154,2516,8518,2781,2869,1006,48,113,019042
Census Tract 190.44; Dallas County; Texas,65125,231500,1088,692,396,3680,835,248,1979,48,113,019044
Census Tract 190.45; Dallas County; Texas,58354,223900,968,637,331,2731,240,479,1232,48,113,019045
Census Tract 190.46; Dallas County; Texas,70580,197400,895,761,134,3055,534,164,1888,48,113,019046
Census Tract 190.47; Dallas County; Texas,71760,232000,1373,707,666,4342,862,1080,1604,48,113,019047
Census Tract 190.48; Dallas County; Texas,95343,252600,1177,847,330,3596,872,524,1702,48,113,019048
Census Tract 190.49; Dallas County; Texas,59451,214800,1236,694,542,4294,1257,570,2093,48,113,019049
Census Tract 190.50; Dallas County; Texas,175221,394900,1150,1102,48,3057,1523,198,507,48,113,019050
Census Tract 190.51; Dallas County; Texas,157260,435500,1727,1670,57,4552,3256,188,306,48,113,019051
Census Tract 190.52; Dallas County; Texas,94792,-666666666,675,0,675,1316,377,398,219,48,113,019052
Census Tract 190.53; Dallas County; Texas,82159,-666666666,917,0,917,1397,503,527,171,48,113,019053
Census Tract 191.01; Dallas County; Texas,78922,369900,700,116,584,1238,764,109,146,48,113,019101
Census Tract 191.02; Dallas County; Texas,91023,300500,1654,1001,653,4511,2270,558,1058,48,113,019102
Census Tract 192.02; Dallas County; Texas,95809,379800,1853,1143,710,4645,2467,426,1355,48,113,019202
Census Tract 192.03; Dallas County; Texas,128705,444000,1535,1217,318,3783,2831,48,750,48,113,019203
Census Tract 192.05; Dallas County; Texas,174107,532100,1653,1316,337,4727,3568,283,306,48,113,019205
Census Tract 192.08; Dallas County; Texas,55142,222100,2215,687,1528,5578,873,1212,3359,48,113,019208
Census Tract 192.10; Dallas County; Texas,213952,633100,1534,1467,67,4753,4089,31,182,48,113,019210
Census Tract 192.11; Dallas County; Texas,79474,314300,2118,1107,1011,5985,2841,710,1674,48,113,019211
Census Tract 192.12; Dallas County; Texas,40036,-666666666,1045,0,1045,2793,14,230,2453,48,113,019212
Census Tract 192.13; Dallas County; Texas,28814,108300,1494,26,1468,3334,428,834,1994,48,113,019213
