GEOID,income_2013,home_val_2013,total_units_2013,owner_occ_2013,renter_occ_2013,pop_2013,white_2013,black_2013,hispanic_2013
48113009303,34722.0,64900.0,1144.0,857.0,287.0,3979.0,103.0,427.0,3449.0
48113009304,17830.0,67000.0,1898.0,500.0,1398.0,5866.0,92.0,4026.0,1620.0
48113009401,48750.0,156200.0,1402.0,930.0,472.0,3401.0,1192.0,223.0,1946.0
48113009402,103148.0,293300.0,1214.0,1021.0,193.0,2426.0,1957.0,21.0,403.0
48113009500,123348.0,369100.0,919.0,799.0,120.0,2228.0,1711.0,72.0,360.0
48113009603,105875.0,358100.0,1836.0,1447.0,389.0,4492.0,3351.0,245.0,530.0
48113009604,54758.0,342100.0,1838.0,781.0,1057.0,4390.0,2637.0,353.0,1192.0
48113009605,40150.0,121900.0,1259.0,485.0,774.0,3568.0,905.0,217.0,2331.0
48113009607,70694.0,184200.0,1445.0,1077.0,368.0,4100.0,2113.0,215.0,1600.0
48113009608,64200.0,252900.0,1684.0,1071.0,613.0,4436.0,2150.0,367.0,1844.0
48113009609,125000.0,377300.0,1136.0,1057.0,79.0,2971.0,2594.0,59.0,310.0
48113009610,30313.0,,1383.0,0.0,1383.0,5555.0,786.0,242.0,4474.0
48113009611,49746.0,131600.0,1201.0,913.0,288.0,3534.0,1086.0,105.0,2263.0
48113009701,50296.0,153400.0,1520.0,946.0,574.0,5271.0,1603.0,342.0,3147.0
48113009702,106023.0,236300.0,1160.0,977.0,183.0,2768.0,2469.0,0.0,259.0
48113009802,30703.0,104600.0,1780.0,956.0,824.0,5955.0,619.0,106.0,5204.0
48113009803,42425.0,133900.0,715.0,395.0,320.0,2204.0,584.0,242.0,1299.0
48113009804,27237.0,56700.0,2032.0,111.0,1921.0,8044.0,1222.0,266.0,6556.0
48113009900,42431.0,12000.0,1203.0,30.0,1173.0,2703.0,729.0,394.0,1063.0
48113010000,32473.0,99400.0,1593.0,171.0,1422.0,12243.0,3500.0,5519.0,2225.0
48113010101,25470.0,81900.0,1326.0,760.0,566.0,4371.0,262.0,1892.0,1977.0
48113010102,38516.0,74800.0,846.0,434.0,412.0,3387.0,283.0,125.0,2948.0
48113010500,36625.0,62400.0,774.0,639.0,135.0,3252.0,368.0,1069.0,1799.0
48113010601,41035.0,64100.0,1519.0,1046.0,473.0,6204.0,253.0,107.0,5802.0
48113010602,23555.0,77800.0,719.0,328.0,391.0,2653.0,343.0,317.0,1816.0
48113010701,37917.0,66800.0,1430.0,546.0,884.0,4746.0,406.0,275.0,3992.0
48113010703,34662.0,83400.0,790.0,398.0,392.0,3016.0,346.0,220.0,2401.0
48113010704,32173.0,101700.0,1484.0,547.0,937.0,4788.0,452.0,993.0,3313.0
48113010801,36060.0,97700.0,2772.0,1301.0,1471.0,9941.0,469.0,1401.0,7966.0
48113010803,56944.0,122000.0,2278.0,1718.0,560.0,6261.0,1280.0,2749.0,2140.0
48113010804,21130.0,91500.0,1449.0,440.0,1009.0,4338.0,245.0,1260.0,2797.0
48113010805,37218.0,104700.0,1610.0,827.0,783.0,6339.0,365.0,1585.0,4361.0
48113010902,31581.0,103800.0,2453.0,769.0,1684.0,5821.0,215.0,4998.0,562.0
48113010903,34041.0,101000.0,1188.0,353.0,835.0,3134.0,182.0,1613.0,1324.0
48113010904,28796.0,,1593.0,56.0,1537.0,3273.0,53.0,2617.0,526.0
48113011001,37734.0,100800.0,2644.0,1651.0,993.0,6670.0,228.0,5731.0,495.0
48113011002,48107.0,107400.0,1037.0,909.0,128.0,2914.0,110.0,2296.0,442.0
48113011101,53638.0,107200.0,1587.0,1266.0,321.0,3887.0,111.0,3635.0,141.0
48113011103,38906.0,80500.0,1186.0,824.0,362.0,3443.0,222.0,1714.0,1482.0
48113011104,30439.0,67200.0,1142.0,774.0,368.0,3438.0,68.0,2723.0,636.0
